,Customer ID,Recency,Frequency,Monetary,Cluster
2,12348.0,75,5,1658.3999999999999,1
4,12350.0,310,1,294.4,0
5,12351.0,375,1,300.93,0
7,12353.0,204,2,406.76,0
8,12354.0,232,1,1079.4,2
9,12355.0,214,2,947.61,2
15,12361.0,287,4,451.25,0
17,12363.0,110,2,552.0,2
18,12364.0,8,4,1208.1,2
19,12365.0,291,1,320.69,0
20,12366.0,634,1,500.24,0
21,12367.0,4,1,150.9,0
22,12368.0,628,1,917.6999999999999,2
23,12369.0,413,3,1511.15,1
26,12372.0,72,3,1196.04,2
27,12373.0,311,3,927.6500000000001,2
29,12375.0,11,2,377.5,0
30,12376.0,390,2,383.15,0
33,12379.0,82,4,1470.22,1
35,12381.0,5,3,1474.81,1
36,12383.0,185,5,1628.56,1
37,12384.0,29,2,425.27000000000004,0
38,12385.0,379,1,1668.4,1
39,12386.0,338,2,401.9,0
40,12387.0,415,1,143.94,0
42,12389.0,403,3,1433.33,1
43,12390.0,80,1,504.84000000000003,0
45,12392.0,591,1,234.75000000000003,0
47,12394.0,64,2,1080.48,2
49,12396.0,674,1,931.43,2
50,12397.0,36,2,2214.9,1
51,12398.0,46,1,1435.66,1
52,12399.0,119,7,1842.3,1
53,12400.0,414,1,205.25,0
54,12401.0,303,1,69.3,0
55,12402.0,323,6,1136.9,2
56,12403.0,50,2,947.36,2
57,12405.0,149,1,1390.39,1
59,12407.0,50,5,1507.1200000000001,1
62,12410.0,309,3,773.71,2
63,12411.0,410,1,346.9,0
65,12413.0,67,4,871.45,2
66,12414.0,217,4,532.41,0
68,12416.0,657,1,202.56,0
70,12418.0,113,4,2021.2,1
71,12419.0,386,2,391.01,0
72,12420.0,64,1,600.39,2
73,12421.0,16,6,874.6,2
77,12425.0,78,2,1741.41,1
78,12426.0,195,2,1201.21,2
79,12427.0,22,3,699.8,2
82,12430.0,43,1,216.4,0
86,12434.0,85,3,1103.43,2
88,12436.0,100,1,429.01000000000005,0
91,12439.0,683,2,1142.88,2
92,12440.0,462,2,739.2,2
93,12441.0,367,1,155.55,0
94,12442.0,3,1,144.06,0
95,12443.0,732,1,365.31,0
97,12445.0,22,2,378.98,0
98,12446.0,58,1,1002.3100000000001,2
99,12447.0,243,1,431.49,0
100,12448.0,44,1,365.45,0
102,12450.0,156,5,688.2,2
104,12452.0,17,1,348.57,0
105,12453.0,134,1,707.09,2
110,12458.0,71,4,1502.49,1
111,12459.0,605,1,398.36,0
112,12460.0,456,1,296.65,0
113,12461.0,155,1,626.88,2
114,12462.0,19,2,937.59,2
115,12463.0,53,4,1200.78,2
117,12465.0,17,2,682.1899999999999,2
118,12467.0,423,1,132.8,0
121,12470.0,690,1,211.95,0
126,12475.0,54,2,1065.64,2
129,12478.0,4,1,545.99,2
130,12479.0,11,1,473.2,0
136,12485.0,529,1,708.1,2
137,12486.0,432,1,917.28,2
138,12487.0,731,1,285.29999999999995,0
139,12488.0,10,3,1244.66,2
140,12489.0,336,1,298.93,0
142,12491.0,39,1,424.40000000000003,0
143,12492.0,63,3,607.21,2
144,12493.0,166,2,379.74,0
146,12495.0,641,1,277.4,0
147,12496.0,620,2,45.34,0
149,12498.0,21,3,349.70000000000005,0
150,12499.0,560,1,357.72,0
152,12501.0,337,1,2025.39,1
154,12503.0,584,1,896.0,2
155,12504.0,18,4,689.05,2
156,12505.0,409,1,787.2,2
157,12506.0,233,1,73.5,0
158,12507.0,134,4,1508.06,1
159,12508.0,26,2,397.88,0
160,12509.0,284,1,158.5,0
163,12512.0,66,2,132.18,0
164,12513.0,113,1,558.29,2
165,12514.0,267,2,1597.76,1
166,12515.0,353,1,278.7,0
169,12518.0,1,5,1840.89,1
170,12519.0,64,2,626.54,2
172,12521.0,143,1,545.68,0
173,12522.0,39,2,156.72,0
176,12525.0,498,3,883.73,2
177,12526.0,1,3,1172.66,2
178,12527.0,82,5,717.51,2
179,12528.0,9,6,1645.48,1
180,12529.0,528,1,316.48,0
182,12531.0,15,2,1771.2,1
183,12532.0,30,1,313.83000000000004,0
184,12533.0,628,2,1223.89,2
185,12534.0,131,1,981.18,2
186,12535.0,92,2,716.35,2
188,12537.0,409,1,612.94,0
189,12538.0,29,2,640.45,2
192,12541.0,30,3,841.18,2
193,12542.0,484,2,481.88,0
194,12543.0,448,1,840.25,2
195,12544.0,36,1,316.7,0
196,12545.0,75,2,832.39,2
197,12546.0,47,2,1021.5,2
198,12547.0,198,3,299.58,0
199,12548.0,166,1,67.19999999999999,0
200,12549.0,576,5,1570.68,1
201,12550.0,79,1,824.83,2
202,12551.0,358,1,168.0,0
203,12552.0,40,1,317.82,0
205,12554.0,449,1,384.5,0
206,12556.0,50,2,599.56,2
208,12558.0,8,1,269.96,0
209,12559.0,311,2,525.71,0
210,12560.0,5,2,1918.01,1
211,12561.0,303,1,238.85,0
213,12563.0,409,1,221.24,0
214,12564.0,261,1,402.9,0
215,12565.0,289,1,145.92,0
216,12566.0,86,1,297.65,0
218,12568.0,645,1,52.0,0
220,12571.0,40,2,519.61,0
221,12572.0,9,2,912.42,2
222,12573.0,227,5,717.41,2
223,12574.0,316,1,182.45000000000002,0
224,12575.0,457,2,568.8199999999999,0
228,12579.0,78,1,386.42,0
229,12580.0,247,2,962.9,2
230,12581.0,40,1,179.71,0
231,12582.0,239,4,1820.4,1
234,12585.0,234,2,1824.1,1
235,12586.0,17,4,2062.67,1
236,12587.0,8,1,104.0,0
237,12588.0,39,3,718.78,2
240,12591.0,317,3,1114.95,2
241,12592.0,92,4,1723.6399999999999,1
242,12593.0,109,3,382.09999999999997,0
244,12595.0,505,1,281.02,0
245,12596.0,51,2,450.27,0
250,12601.0,190,6,573.26,2
251,12602.0,59,1,153.12,0
252,12603.0,22,1,613.1999999999999,2
253,12604.0,79,2,236.18,0
254,12605.0,376,3,1124.95,2
255,12607.0,60,1,1579.51,1
256,12608.0,405,1,415.79,0
258,12610.0,23,4,1747.54,1
259,12611.0,52,1,1193.32,2
260,12612.0,74,1,668.0400000000001,2
262,12614.0,278,1,315.6,0
264,12616.0,95,3,1023.1,2
265,12617.0,29,1,352.98,0
266,12618.0,22,1,137.31,0
268,12620.0,15,3,1303.41,1
270,12622.0,232,1,162.1,0
272,12624.0,106,2,569.13,2
276,12628.0,4,3,732.46,2
277,12629.0,386,2,1198.22,2
278,12630.0,10,2,1030.88,2
280,12632.0,521,2,714.88,2
282,12634.0,548,1,360.0,0
285,12638.0,33,2,681.49,2
286,12639.0,239,3,1072.37,2
287,12640.0,24,3,994.58,2
288,12641.0,115,1,145.9,0
289,12642.0,25,3,905.26,2
291,12644.0,130,4,1900.49,1
293,12646.0,5,2,1346.97,1
295,12648.0,155,4,1039.0,2
297,12650.0,3,1,242.44000000000003,0
298,12651.0,335,4,377.75,0
299,12652.0,331,2,891.03,2
301,12654.0,11,5,529.98,2
302,12655.0,424,1,243.35000000000002,0
304,12657.0,11,4,1427.18,1
305,12658.0,19,1,632.05,2
306,12659.0,30,1,73.68,0
307,12660.0,11,1,227.1,0
308,12661.0,436,1,162.0,0
310,12663.0,625,2,185.4,0
312,12665.0,325,3,259.6,0
313,12666.0,394,1,1248.42,2
314,12667.0,58,1,460.13,0
316,12669.0,151,2,1427.73,1
319,12672.0,330,2,407.05,0
320,12673.0,5,3,1140.02,2
321,12674.0,39,4,1844.6,1
322,12675.0,554,2,873.25,2
324,12677.0,555,2,359.1,0
326,12679.0,59,4,951.02,2
327,12680.0,1,4,790.81,2
331,12684.0,8,6,2073.63,1
333,12686.0,372,1,71.14,0
334,12687.0,481,1,1858.91,1
336,12689.0,26,2,1139.61,2
337,12690.0,206,1,335.01,0
338,12691.0,28,6,1044.4,2
339,12692.0,637,1,110.95,0
340,12693.0,127,7,1415.02,1
341,12694.0,70,3,1663.35,1
342,12695.0,7,7,1371.1200000000001,1
343,12696.0,435,2,731.91,2
344,12697.0,29,3,757.59,2
345,12698.0,590,1,285.75,0
346,12699.0,418,1,566.11,0
349,12702.0,20,1,201.0,0
350,12703.0,71,4,898.53,2
353,12707.0,292,1,603.42,2
356,12710.0,97,3,1023.02,2
357,12711.0,612,2,1213.05,2
359,12713.0,1,1,794.55,2
361,12715.0,106,1,263.36,0
362,12716.0,4,2,963.49,2
363,12717.0,151,3,1058.91,2
364,12718.0,71,1,202.25,0
365,12719.0,5,2,572.95,2
368,12722.0,85,4,979.63,2
369,12723.0,4,5,707.07,2
370,12724.0,5,7,2083.52,1
371,12725.0,371,3,1906.76,1
374,12728.0,71,5,926.17,2
375,12729.0,114,1,417.01,0
376,12730.0,522,1,703.25,2
378,12732.0,180,1,218.26000000000002,0
380,12734.0,353,3,603.65,0
381,12735.0,315,2,689.5699999999999,2
382,12736.0,333,1,144.0,0
383,12738.0,372,1,137.35,0
385,12740.0,64,1,427.6,0
386,12741.0,533,1,236.07,0
387,12742.0,626,1,1201.52,2
388,12743.0,134,2,540.13,0
390,12745.0,487,2,723.85,2
391,12746.0,541,1,254.55,0
395,12750.0,129,1,275.88,0
396,12751.0,445,1,268.27,0
401,12756.0,87,1,112.07999999999998,0
405,12760.0,456,1,317.8,0
406,12761.0,465,1,712.95,2
407,12762.0,8,2,1702.52,1
408,12763.0,138,2,494.08,0
409,12764.0,317,1,1693.88,1
410,12765.0,472,6,1299.58,1
412,12767.0,376,1,949.82,2
413,12768.0,451,1,168.69000000000003,0
414,12769.0,239,1,1143.6,2
416,12771.0,486,1,226.3,0
417,12772.0,60,1,752.47,2
418,12773.0,564,1,124.25,0
419,12774.0,536,1,83.7,0
420,12775.0,17,7,1551.12,1
421,12776.0,668,1,27.5,0
422,12777.0,458,1,519.45,0
425,12780.0,599,1,322.4,0
426,12781.0,64,2,786.74,2
428,12783.0,2,4,1295.87,1
429,12784.0,15,2,1511.15,1
430,12785.0,364,3,904.4,2
431,12786.0,610,1,668.5,0
432,12787.0,10,4,799.18,2
433,12788.0,463,4,384.9,0
434,12789.0,65,3,225.35,0
435,12790.0,192,2,546.85,0
436,12791.0,374,5,656.83,2
437,12792.0,257,2,715.01,2
438,12793.0,335,3,745.53,2
439,12794.0,53,2,860.41,2
440,12795.0,19,1,318.48,0
441,12796.0,628,1,351.0,0
442,12797.0,366,2,468.08000000000004,0
444,12799.0,529,1,219.35,0
445,12800.0,470,2,500.25,0
446,12801.0,501,1,871.82,2
447,12802.0,187,5,2186.42,1
448,12803.0,393,1,1017.81,2
449,12804.0,466,2,325.37,0
450,12805.0,382,4,1230.95,2
452,12807.0,383,1,250.35,0
453,12808.0,37,5,748.7,2
454,12809.0,178,3,1384.3400000000001,1
455,12810.0,535,2,534.99,0
456,12811.0,262,4,893.9,2
457,12812.0,45,1,229.64000000000001,0
458,12813.0,502,3,1621.8,1
459,12814.0,102,1,85.92,0
460,12815.0,148,2,863.46,2
461,12816.0,96,2,452.20000000000005,0
462,12817.0,281,3,570.98,0
463,12818.0,262,1,1182.0800000000002,2
464,12819.0,458,1,540.52,0
